link,floor,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,pred_price,diff,marker
https://krasnodar.cian.ru/sale/flat/273429495/,9,1,39.0,4750000,2016,20.0,12.0,3961519.750430902,-16.599584201454693,underpriced
https://novorossiysk.cian.ru/sale/flat/283433509/,2,1,37.0,4800000,1985,18.0,9.0,3658293.9161407496,-23.785543413734384,underpriced
https://krasnodar.cian.ru/sale/flat/280588964/,3,3,58.0,4800000,1975,45.0,5.0,4100322.30991149,-14.576618543510627,underpriced
https://krasnodar.cian.ru/sale/flat/271925848/,5,3,53.0,4800000,1970,35.0,5.3,4154567.500962326,-13.446510396618212,underpriced
https://krasnodar.cian.ru/sale/flat/280537162/,9,1,41.5,4850000,2022,17.8,10.2,4047593.198763071,-16.544470128596473,underpriced
https://krasnodar.cian.ru/sale/flat/273174676/,10,2,69.0,4890000,2020,34.0,14.0,5173789.817396322,5.803472748391049,overpriced
https://sochi.cian.ru/sale/flat/273241640/,4,1,53.0,4900000,2020,40.0,10.0,4379210.072703842,-10.628365863186897,underpriced
https://krasnodar.cian.ru/sale/flat/282606145/,7,1,42.0,4900000,2013,18.0,13.0,4142547.4118710505,-15.458216084264278,underpriced
https://krasnodar.cian.ru/sale/flat/280982767/,10,1,27.0,4900000,2016,13.0,9.0,3662077.437366653,-25.263725768027495,underpriced
https://krasnodar.cian.ru/sale/flat/279796497/,5,1,39.5,3700000,2012,18.1,10.8,3940834.71363972,6.509046314587024,overpriced
https://krasnodar.cian.ru/sale/flat/276556880/,13,1,45.1,4000000,2020,20.8,11.7,4368855.2836033935,9.221382090084838,overpriced
https://krasnodar.cian.ru/sale/flat/278705525/,9,2,68.0,8500000,2020,40.0,20.0,5876955.698021169,-30.859344729162718,underpriced
https://krasnodar.cian.ru/sale/flat/282160741/,7,3,84.0,8950000,2016,41.3,13.9,6111859.316157493,-31.711069093212373,underpriced
https://krasnodar.cian.ru/sale/flat/281444688/,9,3,86.7,7900000,2018,44.7,12.1,5983573.898193309,-24.258558250717606,underpriced
https://krasnodar.cian.ru/sale/flat/280411276/,2,2,61.8,5400000,2018,32.4,11.6,4779915.60577138,-11.483044337567046,underpriced
https://krasnodar.cian.ru/sale/flat/258735506/,8,3,97.0,6599000,2021,60.0,15.0,5942107.371704596,-9.954426857029912,underpriced
https://sochi.cian.ru/sale/flat/283679833/,2,1,21.0,4800000,-1,16.0,4.0,3576513.174614413,-25.489308862199724,underpriced
https://krasnodar.cian.ru/sale/flat/282973095/,2,3,72.0,5800000,2011,30.0,30.0,5560941.3387721395,-4.121701055652767,underpriced
https://krasnodar.cian.ru/sale/flat/280856776/,14,1,45.0,5100000,2020,18.0,14.0,4493568.172311919,-11.890820150746691,underpriced
https://anapa.cian.ru/sale/flat/281453330/,17,2,62.2,8900000,2020,45.0,14.0,5721351.469694489,-35.71515202590462,underpriced
https://krasnodar.cian.ru/sale/flat/283346951/,7,1,39.2,3250000,2021,16.5,11.0,4043233.2931291093,24.40717825012644,overpriced
https://krasnodar.cian.ru/sale/flat/283479337/,2,2,56.9,5500000,2021,32.0,12.0,4617404.13148358,-16.047197609389453,underpriced
https://krasnodar.cian.ru/sale/flat/282878071/,19,3,80.0,8500000,2021,55.0,20.0,6489643.190822932,-23.651256578553745,underpriced
https://krasnodar.cian.ru/sale/flat/278766739/,8,1,38.0,2930000,2012,25.0,-1.0,3802542.7147078975,29.779614836447013,overpriced
https://krasnodar.cian.ru/sale/flat/279940189/,4,1,33.0,3300000,2012,18.0,8.0,3481984.1282096896,5.514670551808777,overpriced
https://krasnodar.cian.ru/sale/flat/283680802/,4,1,30.0,3000000,1989,16.0,8.0,3341070.312866722,11.369010428890725,overpriced
https://krasnodar.cian.ru/sale/flat/281500590/,3,1,37.0,3380000,2013,18.0,10.0,3825999.6350664725,13.195255475339422,overpriced
https://krasnodar.cian.ru/sale/flat/282578799/,3,1,32.5,3200000,1963,16.5,6.0,3305566.609299325,3.2989565406039034,overpriced
https://krasnodar.cian.ru/sale/flat/277173839/,22,1,34.8,3200000,2019,23.0,8.0,4021553.9268587977,25.673560214337424,overpriced
https://krasnodar.cian.ru/sale/flat/273674983/,5,1,31.2,2600000,1963,17.6,5.9,3406919.5379550983,31.035366844426857,overpriced
https://krasnodar.cian.ru/sale/flat/279888641/,7,1,21.0,2500000,2021,16.1,-1.0,3177599.129883668,27.103965195346717,overpriced
https://krasnodar.cian.ru/sale/flat/276002947/,1,1,28.8,3000000,1910,17.0,6.0,2828379.8917436404,-5.720670275211987,underpriced
https://krasnodar.cian.ru/sale/flat/275939397/,1,1,26.6,3100000,1984,18.8,2.8,2834151.7863833997,-8.575748826341943,underpriced
